Feature,Importance
total_bytes,0.06427745511024743
sbytes,0.05639523979825758
bytes_per_packet,0.054842613594782395
traffic_direction_ratio,0.05300284779053093
sttl,0.046951427818636086
ct_srv_dst,0.04283786421359688
smean,0.0406228519116096
service_dns,0.04042908417681033
ct_dst_src_ltm,0.04016502938489505
ct_srv_src,0.03620347096599529
ct_dst_sport_ltm,0.029409411037059175
ct_state_ttl,0.02908984719411135
sload,0.028265636111069796
ct_src_dport_ltm,0.027811522503152608
rate,0.02445389316238717
dbytes,0.023393091104905447
dur,0.022134194287631342
dload,0.021243072177904013
dmean,0.019888939909592344
ackdat,0.019009466911720296
ct_dst_ltm,0.018833821350971173
dinpkt,0.017398023893017565
packet_direction_ratio,0.01713091629399116
tcprtt,0.01683465546186893
sinpkt,0.016534156214662005
synack,0.016428474454620236
proto_udp,0.01580234308464784
dttl,0.015183029086743651
ct_src_ltm,0.014533544318438512
total_packets,0.012986988858327443
sjit,0.012704971575177453
djit,0.011060711319445051
dpkts,0.009388033811952287
dloss,0.009149084836980714
state_INT,0.008199766460290135
spkts,0.00797864487003071
sloss,0.007227027348915087
stcpb,0.006633188975529308
dtcpb,0.005685757337498795
service_http,0.0042831446870011
swin,0.003931556085092652
proto_tcp,0.003487834389180458
ct_flw_http_mthd,0.002907623165119384
response_body_len,0.002872716320917065
trans_depth,0.002530639585744518
state_CON,0.0023794226488465134
proto_unas,0.0022008873427731496
state_FIN,0.002043385424697508
proto_arp,0.0015659822034651046
service_smtp,0.0011625188326654982
is_sm_ips_ports,0.0010565760389807304
state_REQ,0.0009351569395523062
proto_sctp,0.0008318954571910203
dwin,0.0007815388618446569
proto_ospf,0.0007571868770181106
service_ftp-data,0.0005540310686023167
service_ftp,0.00038142518679364236
is_ftp_login,0.00024493716842650785
ct_ftp_cmd,0.0001752806224516505
service_pop3,0.0001654677916038609
proto_sep,0.00015851243406040592
proto_ipv6,0.00013174125554343854
proto_gre,0.00012639470119571103
service_snmp,0.00012501072189686577
service_dhcp,9.721979430992413e-05
proto_swipe,8.91074133035821e-05
proto_sun-nd,8.787294494856829e-05
proto_mobile,8.686038002185122e-05
proto_igmp,7.416849164066821e-05
proto_any,7.158297291743091e-05
proto_rsvp,5.692531494378671e-05
proto_wb-mon,4.332832838524118e-05
service_ssl,4.0874553934901836e-05
proto_sccopmce,3.9125936255195756e-05
proto_mfe-nsp,3.884004231375188e-05
proto_pim,3.7010155310563414e-05
proto_sat-mon,3.68788072550094e-05
proto_wb-expak,3.631560042434901e-05
proto_trunk-1,3.6023698748222115e-05
proto_merit-inp,3.49699813547429e-05
proto_sprite-rpc,3.4960444772245385e-05
proto_smp,3.471265038054507e-05
proto_dcn,3.461919596006673e-05
proto_crtp,3.4500513267904454e-05
proto_sdrp,3.448617341431084e-05
proto_ipv6-no,3.441058117575348e-05
proto_isis,3.427015675759251e-05
proto_sat-expak,3.4132723300027e-05
proto_eigrp,3.4083310937622396e-05
proto_mhrp,3.392024157475437e-05
proto_crudp,3.3855028882119576e-05
proto_egp,3.3748776369597994e-05
proto_pvp,3.3630578851119064e-05
proto_stp,3.360207300126146e-05
proto_ipv6-frag,3.3465454329358334e-05
proto_ifmp,3.345398173216289e-05
proto_srp,3.34431045575601e-05
proto_cpnx,3.30012556504313e-05
proto_aes-sp3-d,3.27980808171346e-05
proto_compaq-peer,3.2750921000501405e-05
proto_narp,3.2668599196852197e-05
proto_secure-vmtp,3.2635848952616866e-05
proto_qnx,3.263288305441708e-05
proto_ipv6-opts,3.245530647268648e-05
proto_ipx-n-ip,3.225565686659979e-05
proto_i-nlsp,3.225388045747962e-05
proto_idpr-cmtp,3.225213890462881e-05
proto_idrp,3.217960558782627e-05
proto_cphb,3.210647664089971e-05
proto_ptp,3.203808119777758e-05
proto_vmtp,3.1713575293680986e-05
proto_xns-idp,3.1644268998565715e-05
proto_idpr,3.1280009783348426e-05
proto_ib,3.1217903302622246e-05
proto_l2tp,3.1120450892569816e-05
proto_ax.25,3.1074973597469024e-05
proto_ipcomp,3.105410375888665e-05
proto_fc,3.102473600785109e-05
proto_sm,3.078146351191021e-05
proto_vines,3.076683949923322e-05
proto_ipv6-route,3.066609051276571e-05
proto_mtp,3.052301440483883e-05
proto_pipe,3.045138625562203e-05
proto_xtp,3.0395381942331203e-05
proto_iatp,3.0352385053342384e-05
proto_snp,3.013713953506323e-05
proto_gmtp,3.010231174106445e-05
proto_fire,3.0091325160408558e-05
proto_netblt,2.9785648443327276e-05
proto_irtp,2.9651133463589262e-05
proto_iso-ip,2.955770657498025e-05
proto_ippc,2.9498778294125333e-05
proto_bna,2.9389395322590465e-05
proto_nvp,2.9318279178057916e-05
proto_a/n,2.9146471015667064e-05
proto_kryptolan,2.912795281767042e-05
proto_skip,2.8988185778669698e-05
proto_rdp,2.898429343614762e-05
proto_prm,2.8979913171846572e-05
proto_larp,2.895969274273142e-05
proto_pnni,2.894796542820328e-05
proto_iso-tp4,2.8808327757259514e-05
proto_hmp,2.8736279294154543e-05
proto_ddx,2.8719516626619933e-05
proto_sps,2.853605938975604e-05
proto_scps,2.8493153547901952e-05
proto_ipip,2.841895636067741e-05
proto_visa,2.826325193132921e-05
proto_pgm,2.8201878128258866e-05
proto_vrrp,2.800083789316829e-05
proto_uti,2.783924749059381e-05
proto_zero,2.783370827451716e-05
proto_micp,2.7788482898919476e-05
proto_il,2.7701044093417947e-05
proto_wsn,2.7646787751786307e-05
proto_dgp,2.7622577592712964e-05
proto_aris,2.755745695358669e-05
proto_leaf-1,2.755695851888678e-05
proto_tp++,2.7519004224951696e-05
proto_ttp,2.7399806207815e-05
proto_nsfnet-igp,2.7343130496267003e-05
proto_ddp,2.7280072266872556e-05
proto_ipcv,2.7164736731509057e-05
proto_igp,2.6998759774585902e-05
proto_cftp,2.6825253449452524e-05
proto_pri-enc,2.6713383223703384e-05
proto_bbn-rcc,2.6657303561669277e-05
proto_encap,2.6636586116076897e-05
proto_br-sat-mon,2.6517465043789915e-05
proto_leaf-2,2.644671656872892e-05
proto_emcon,2.6429046639832828e-05
proto_tcf,2.6324806643334827e-05
proto_trunk-2,2.4857743345968458e-05
proto_xnet,2.4512727617557065e-05
